나이,직업,결혼여부,신용,예금여부,대출여부
31세,육체노동직,기혼,높음,예,예
29세,공무원,미혼,높음,예,예
37세,서비스직,이혼,높음,예,예
33세,육체노동직,미혼,높음,예,예
24세,기술자,미혼,높음,예,예
50세,공무원,이혼,높음,예,예
27세,기술자,미혼,높음,예,예
54세,경영진,미혼,높음,예,예
30세,기술자,미혼,높음,예,예
34세,육체노동직,기혼,높음,예,예
37세,경영진,미혼,높음,예,예
41세,공무원,미혼,높음,예,예
47세,육체노동직,기혼,높음,예,예
31세,공무원,기혼,높음,예,예
31세,육체노동직,기혼,높음,예,예
43세,서비스직,이혼,높음,예,예
37세,경영진,이혼,높음,예,예
30세,기술자,미혼,높음,예,예
41세,기술자,기혼,높음,예,예
36세,육체노동직,기혼,높음,예,예
35세,육체노동직,이혼,높음,예,예
29세,서비스직,미혼,높음,예,예
35세,육체노동직,기혼,높음,예,예
31세,육체노동직,기혼,높음,예,예
35세,서비스직,기혼,높음,예,예
34세,기술자,미혼,높음,예,예
31세,공무원,미혼,높음,예,예
44세,기술자,이혼,높음,예,예
36세,육체노동직,기혼,높음,예,예
35세,육체노동직,기혼,높음,예,예
41세,육체노동직,기혼,높음,예,예
31세,육체노동직,미혼,높음,예,예
34세,육체노동직,기혼,높음,예,예
32세,기술자,기혼,높음,예,예
36세,경영진,기혼,높음,예,예
30세,육체노동직,미혼,낮음,예,예
37세,기술자,미혼,높음,예,예
36세,육체노동직,기혼,높음,예,예
31세,경영진,미혼,높음,예,예
27세,기술자,기혼,높음,예,예
34세,은퇴,기혼,높음,예,아니오
30세,기술자,미혼,높음,예,예
32세,기술자,미혼,높음,예,예
37세,기술자,미혼,높음,예,예
32세,육체노동직,기혼,높음,예,예
33세,육체노동직,기혼,높음,예,예
35세,육체노동직,기혼,높음,예,예
35세,개인사업자,이혼,높음,예,예
30세,육체노동직,미혼,높음,예,예
45세,육체노동직,이혼,높음,예,예
45세,공무원,기혼,높음,예,예
33세,육체노동직,기혼,높음,예,예
44세,경영진,이혼,높음,예,아니오
40세,육체노동직,기혼,높음,예,예
31세,육체노동직,기혼,높음,예,예
30세,기술자,기혼,높음,예,예
44세,기술자,이혼,높음,예,예
34세,서비스직,기혼,높음,예,예
37세,육체노동직,기혼,높음,예,아니오
28세,개인사업자,미혼,높음,예,예
32세,공무원,미혼,높음,예,예
37세,육체노동직,이혼,높음,예,예
34세,경영진,기혼,높음,예,예
38세,공무원,이혼,높음,예,예
28세,공무원,미혼,높음,예,예
31세,경영진,이혼,높음,예,예
59세,서비스직,기혼,높음,예,예
24세,육체노동직,기혼,높음,예,예
26세,서비스직,미혼,높음,예,예
59세,은퇴,미혼,높음,예,예
30세,기업가,미혼,높음,예,예
37세,공무원,기혼,높음,예,예
30세,공무원,미혼,높음,예,예
25세,육체노동직,기혼,높음,예,예
44세,서비스직,이혼,높음,예,예
29세,경영진,기혼,높음,예,아니오
26세,경영진,미혼,높음,예,예
26세,기술자,미혼,높음,예,예
27세,서비스직,미혼,높음,예,예
25세,개인사업자,미혼,높음,예,예
28세,경영진,기혼,높음,예,예
23세,서비스직,미혼,높음,예,예
34세,경영진,미혼,높음,예,예
28세,학생,미혼,높음,예,예
51세,기업가,기혼,높음,예,예
35세,육체노동직,기혼,높음,예,예
35세,공무원,기혼,높음,예,예
56세,육체노동직,기혼,높음,예,예
45세,실업자,이혼,높음,예,예
60세,육체노동직,이혼,높음,예,예
56세,기술자,기혼,높음,예,예
27세,경영진,미혼,높음,예,예
30세,공무원,기혼,높음,예,예
45세,육체노동직,이혼,높음,예,예
29세,육체노동직,미혼,높음,예,예
38세,경영진,이혼,높음,예,예
30세,육체노동직,기혼,높음,예,예
44세,육체노동직,미혼,높음,예,예
36세,경영진,미혼,높음,예,예
38세,기술자,기혼,높음,예,예
36세,육체노동직,미혼,높음,예,예
37세,경영진,이혼,높음,예,예
35세,경영진,미혼,높음,예,예
38세,공무원,이혼,높음,예,예
40세,서비스직,기혼,높음,예,예
42세,실업자,이혼,높음,예,예
46세,경영진,이혼,높음,예,예
35세,기술자,이혼,높음,예,예
34세,기술자,이혼,높음,예,예
32세,서비스직,기혼,높음,예,예
50세,실업자,기혼,높음,예,예
35세,육체노동직,기혼,높음,예,예
36세,기술자,미혼,높음,예,예
53세,육체노동직,이혼,높음,예,예
46세,경영진,미혼,높음,예,예
26세,경영진,미혼,높음,예,예
45세,기술자,미혼,높음,예,예
31세,실업자,이혼,높음,예,예
29세,경영진,미혼,높음,예,예
53세,기업가,미혼,높음,예,예
27세,육체노동직,기혼,높음,예,예
39세,경영진,기혼,높음,예,예
36세,서비스직,기혼,높음,예,예
41세,육체노동직,기혼,높음,예,예
36세,서비스직,기혼,높음,예,예
32세,기술자,기혼,높음,예,예
35세,서비스직,기혼,높음,예,예
36세,경영진,미혼,높음,예,예
35세,경영진,기혼,높음,예,예
30세,육체노동직,미혼,높음,예,예
42세,육체노동직,기혼,높음,예,예
42세,기술자,미혼,낮음,예,예
32세,육체노동직,기혼,높음,예,예
29세,육체노동직,미혼,높음,예,예
44세,경영진,이혼,낮음,예,예
32세,기술자,미혼,높음,예,예
31세,실업자,기혼,높음,예,예
40세,개인사업자,기혼,낮음,예,예
43세,기업가,기혼,높음,예,아니오
27세,경영진,미혼,높음,예,예
37세,서비스직,미혼,높음,예,예
23세,서비스직,미혼,높음,예,예
25세,경영진,기혼,높음,예,예
26세,육체노동직,미혼,낮음,예,예
47세,육체노동직,이혼,높음,예,예
35세,공무원,기혼,높음,예,예
32세,기술자,미혼,높음,예,예
45세,경영진,이혼,높음,예,예
30세,공무원,이혼,높음,예,예
29세,서비스직,미혼,높음,예,예
38세,육체노동직,기혼,높음,예,예
23세,육체노동직,미혼,높음,예,예
27세,경영진,미혼,높음,예,예
27세,경영진,미혼,낮음,예,예
29세,서비스직,미혼,높음,예,예
30세,개인사업자,기혼,높음,예,예
36세,육체노동직,기혼,높음,예,예
35세,공무원,이혼,높음,예,예
36세,육체노동직,기혼,높음,예,아니오
59세,은퇴,이혼,높음,예,예
47세,기업가,기혼,높음,예,아니오
58세,기업가,기혼,높음,예,아니오
37세,경영진,미혼,높음,예,아니오
46세,공무원,미혼,높음,예,예
43세,육체노동직,미혼,높음,예,예
27세,경영진,미혼,높음,예,예
38세,서비스직,이혼,높음,예,아니오
53세,가사도우미,기혼,높음,예,예
47세,육체노동직,기혼,높음,예,아니오
56세,가사도우미,이혼,낮음,예,아니오
41세,가사도우미,기혼,높음,예,아니오
29세,개인사업자,기혼,높음,예,예
50세,기술자,기혼,높음,예,예
45세,육체노동직,이혼,높음,예,아니오
35세,육체노동직,기혼,높음,예,예
26세,기술자,미혼,높음,예,예
26세,공무원,기혼,높음,예,예
37세,육체노동직,기혼,높음,예,예
30세,공무원,미혼,높음,예,예
38세,경영진,미혼,높음,예,예
37세,서비스직,이혼,높음,예,예
53세,기술자,기혼,높음,예,아니오
29세,육체노동직,미혼,높음,예,예
35세,경영진,미혼,높음,예,아니오
28세,육체노동직,기혼,높음,예,예
55세,육체노동직,기혼,높음,예,아니오
49세,경영진,이혼,높음,예,예
50세,서비스직,기혼,높음,예,아니오
43세,경영진,미혼,높음,예,아니오
58세,개인사업자,이혼,높음,예,아니오
38세,기술자,기혼,높음,예,예
48세,육체노동직,이혼,높음,예,아니오
59세,경영진,기혼,높음,예,아니오
58세,육체노동직,기혼,높음,예,아니오
36세,개인사업자,미혼,높음,예,아니오
42세,기업가,기혼,높음,예,아니오
41세,공무원,미혼,높음,예,예
42세,공무원,기혼,높음,예,아니오
39세,경영진,기혼,높음,예,예
57세,가사도우미,기혼,높음,예,예
52세,은퇴,기혼,높음,예,아니오
59세,은퇴,기혼,높음,예,아니오
56세,육체노동직,기혼,높음,예,아니오
49세,경영진,기혼,높음,예,아니오
35세,육체노동직,이혼,높음,예,아니오
36세,실업자,기혼,높음,예,아니오
40세,공무원,미혼,높음,예,아니오
55세,육체노동직,기혼,높음,예,아니오
58세,공무원,기혼,높음,예,아니오
39세,개인사업자,기혼,높음,예,아니오
47세,가사도우미,미혼,높음,예,아니오
40세,경영진,기혼,높음,예,예
35세,육체노동직,기혼,높음,예,아니오
48세,육체노동직,기혼,높음,예,예
48세,경영진,이혼,높음,예,예
24세,육체노동직,미혼,낮음,예,예
49세,육체노동직,기혼,높음,예,예
36세,육체노동직,기혼,높음,예,예
52세,은퇴,이혼,높음,예,예
42세,기업가,미혼,높음,예,아니오
36세,서비스직,기혼,높음,예,아니오
36세,육체노동직,이혼,높음,예,예
48세,실업자,미혼,높음,예,아니오
51세,경영진,미혼,높음,예,예
51세,육체노동직,기혼,높음,예,예
46세,기술자,기혼,높음,예,예
37세,경영진,기혼,높음,예,아니오
36세,기업가,기혼,높음,예,아니오
47세,경영진,기혼,높음,예,아니오
40세,기술자,이혼,높음,예,아니오
38세,학생,미혼,높음,예,아니오
40세,경영진,기혼,높음,예,아니오
39세,육체노동직,기혼,높음,예,예
60세,경영진,기혼,높음,예,아니오
39세,개인사업자,미혼,높음,예,아니오
51세,서비스직,이혼,높음,예,아니오
27세,공무원,기혼,높음,예,예
41세,경영진,미혼,높음,예,아니오
42세,육체노동직,미혼,높음,예,아니오
41세,기업가,기혼,높음,예,아니오
33세,기술자,기혼,높음,예,예
46세,공무원,기혼,높음,예,아니오
31세,육체노동직,기혼,높음,예,예
41세,육체노동직,기혼,높음,예,예
41세,육체노동직,이혼,높음,예,아니오
55세,은퇴,이혼,높음,예,예
53세,기술자,기혼,높음,예,아니오
55세,가사도우미,기혼,높음,예,아니오
39세,서비스직,기혼,높음,예,예
40세,기업가,기혼,낮음,예,아니오
59세,은퇴,기혼,높음,예,아니오
42세,육체노동직,미혼,높음,예,아니오
41세,육체노동직,기혼,높음,예,아니오
27세,육체노동직,기혼,높음,예,예
25세,육체노동직,미혼,높음,예,예
43세,실업자,기혼,높음,예,아니오
44세,서비스직,기혼,높음,예,예
26세,육체노동직,미혼,높음,예,예
52세,은퇴,기혼,높음,예,아니오
54세,서비스직,기혼,높음,예,예
56세,경영진,기혼,높음,예,예
57세,경영진,기혼,높음,예,예
29세,육체노동직,미혼,높음,예,예
47세,기술자,기혼,높음,예,예
57세,경영진,기혼,높음,예,예
40세,육체노동직,기혼,높음,예,예
46세,서비스직,이혼,높음,예,아니오
43세,육체노동직,미혼,높음,예,예
45세,경영진,기혼,높음,예,아니오
24세,경영진,기혼,높음,예,예
40세,육체노동직,기혼,높음,예,예
38세,서비스직,이혼,높음,예,아니오
36세,실업자,기혼,높음,예,아니오
27세,육체노동직,미혼,낮음,예,아니오
26세,공무원,미혼,높음,예,예
43세,경영진,기혼,높음,예,예
25세,육체노동직,미혼,높음,예,예
27세,육체노동직,기혼,높음,예,예
30세,기술자,기혼,높음,예,예
28세,공무원,미혼,높음,예,예
27세,육체노동직,기혼,높음,예,예
32세,공무원,이혼,높음,예,예
41세,육체노동직,미혼,높음,예,예
37세,기술자,미혼,높음,예,아니오
27세,기술자,미혼,높음,예,아니오
29세,서비스직,미혼,높음,예,예
33세,서비스직,기혼,높음,예,예
36세,기술자,기혼,높음,예,아니오
28세,육체노동직,미혼,높음,예,예
55세,육체노동직,기혼,높음,예,예
51세,기술자,기혼,높음,예,아니오
39세,기술자,미혼,높음,예,예
42세,육체노동직,이혼,높음,예,예
33세,서비스직,미혼,높음,예,아니오
36세,기업가,이혼,높음,예,예
45세,기술자,기혼,높음,예,아니오
37세,개인사업자,기혼,높음,예,아니오
46세,실업자,기혼,높음,예,아니오
32세,개인사업자,미혼,높음,예,아니오
28세,기술자,미혼,높음,예,예
45세,공무원,이혼,높음,예,예
41세,육체노동직,미혼,낮음,예,예
59세,육체노동직,이혼,높음,예,예
47세,기술자,미혼,높음,예,예
31세,육체노동직,미혼,높음,예,아니오
31세,경영진,미혼,높음,예,예
33세,기업가,기혼,높음,예,예
52세,기업가,기혼,낮음,예,아니오
26세,개인사업자,미혼,높음,예,아니오
25세,기술자,미혼,높음,예,예
25세,육체노동직,기혼,높음,예,예
28세,육체노동직,미혼,높음,예,예
33세,기업가,이혼,높음,예,예
45세,경영진,이혼,높음,예,예
36세,서비스직,기혼,높음,예,예
26세,육체노동직,미혼,낮음,예,예
38세,기술자,기혼,높음,예,아니오
56세,육체노동직,미혼,높음,예,예
26세,공무원,미혼,높음,예,예
26세,기술자,기혼,높음,예,예
25세,육체노동직,미혼,높음,예,예
26세,실업자,미혼,높음,예,아니오
40세,육체노동직,기혼,높음,예,예
37세,공무원,기혼,높음,예,예
43세,육체노동직,미혼,높음,예,아니오
41세,서비스직,이혼,높음,예,예
49세,육체노동직,기혼,높음,예,예
29세,공무원,이혼,낮음,예,예
39세,서비스직,이혼,높음,예,예
38세,경영진,기혼,낮음,예,예
26세,기술자,기혼,높음,예,예
32세,경영진,기혼,높음,예,예
33세,육체노동직,기혼,높음,예,예
31세,경영진,미혼,높음,예,예
49세,육체노동직,기혼,높음,예,예
27세,실업자,미혼,높음,예,예
30세,육체노동직,미혼,높음,예,예
35세,육체노동직,기혼,높음,예,아니오
26세,육체노동직,미혼,높음,예,예
45세,기업가,기혼,높음,예,예
34세,공무원,기혼,높음,예,예
28세,공무원,미혼,높음,예,예
25세,육체노동직,미혼,높음,예,예
30세,육체노동직,미혼,높음,예,예
30세,서비스직,기혼,높음,예,예
47세,서비스직,기혼,높음,예,예
57세,공무원,이혼,높음,예,아니오
38세,경영진,기혼,높음,예,예
54세,기술자,기혼,높음,예,예
25세,육체노동직,미혼,높음,예,아니오
30세,육체노동직,기혼,높음,예,예
26세,경영진,미혼,높음,예,아니오
31세,학생,기혼,높음,예,예
29세,육체노동직,미혼,높음,예,예
49세,육체노동직,기혼,높음,예,예
60세,은퇴,이혼,높음,예,아니오
60세,경영진,기혼,높음,예,예
29세,경영진,미혼,높음,예,예
55세,경영진,이혼,높음,예,예
44세,공무원,기혼,높음,예,예
47세,기술자,기혼,높음,예,예
35세,공무원,기혼,높음,예,예
35세,기업가,기혼,높음,예,예
38세,기술자,기혼,높음,예,예
34세,기업가,기혼,높음,예,예
50세,기술자,기혼,높음,예,예
43세,공무원,기혼,높음,예,예
44세,공무원,이혼,높음,예,예
51세,서비스직,이혼,높음,예,예
31세,기술자,기혼,높음,예,예
39세,기술자,기혼,높음,예,예
59세,경영진,기혼,높음,예,예
25세,서비스직,미혼,높음,예,예
58세,경영진,기혼,높음,예,예
30세,기업가,기혼,높음,예,예
34세,육체노동직,미혼,높음,예,예
51세,서비스직,이혼,높음,예,예
60세,은퇴,기혼,높음,예,아니오
51세,기업가,기혼,높음,예,예
37세,경영진,이혼,높음,예,아니오
30세,육체노동직,미혼,높음,예,아니오
46세,기업가,이혼,높음,예,예
29세,학생,미혼,높음,예,아니오
27세,기업가,기혼,높음,예,아니오
28세,경영진,미혼,높음,예,예
34세,육체노동직,미혼,높음,예,예
29세,육체노동직,미혼,높음,예,예
27세,경영진,미혼,높음,예,예
26세,기술자,미혼,높음,예,아니오
36세,경영진,기혼,높음,예,예
44세,육체노동직,기혼,높음,예,예
39세,육체노동직,기혼,높음,예,아니오
30세,기술자,기혼,높음,예,예
31세,실업자,이혼,높음,예,예
56세,육체노동직,기혼,높음,예,예
29세,육체노동직,기혼,높음,예,예
43세,육체노동직,기혼,높음,예,예
32세,육체노동직,기혼,높음,예,예
30세,공무원,미혼,높음,예,아니오
40세,육체노동직,기혼,높음,예,예
42세,서비스직,기혼,높음,예,예
27세,학생,기혼,높음,예,예
35세,경영진,기혼,높음,예,예
35세,가사도우미,기혼,높음,예,예
32세,육체노동직,미혼,높음,예,예
39세,기술자,기혼,높음,예,예
31세,육체노동직,이혼,높음,예,예
26세,서비스직,미혼,높음,예,예
42세,경영진,기혼,높음,예,예
27세,서비스직,미혼,높음,예,예
33세,개인사업자,이혼,높음,예,예
51세,육체노동직,기혼,높음,예,예
33세,공무원,기혼,높음,예,예
30세,기술자,미혼,높음,예,아니오
52세,가사도우미,기혼,높음,예,예
42세,육체노동직,이혼,높음,예,예
31세,경영진,이혼,높음,예,예
27세,서비스직,기혼,높음,예,예
44세,육체노동직,미혼,높음,예,예
40세,기업가,이혼,높음,예,예
46세,가사도우미,이혼,높음,예,예
32세,서비스직,이혼,높음,예,예
56세,기술자,이혼,높음,예,아니오
33세,육체노동직,기혼,높음,예,예
33세,육체노동직,기혼,높음,예,예
32세,개인사업자,기혼,높음,예,예
41세,육체노동직,이혼,높음,예,예
31세,공무원,미혼,높음,예,아니오
30세,공무원,이혼,높음,예,예
34세,공무원,이혼,높음,예,아니오
43세,기업가,기혼,높음,예,예
28세,육체노동직,기혼,높음,예,아니오
32세,공무원,이혼,높음,예,예
31세,육체노동직,이혼,높음,예,예
35세,기업가,미혼,높음,예,예
31세,경영진,기혼,높음,예,예
25세,서비스직,미혼,높음,예,예
56세,은퇴,이혼,높음,예,예
47세,기술자,기혼,높음,예,예
39세,경영진,기혼,높음,예,예
51세,경영진,기혼,높음,예,예
54세,기술자,이혼,높음,예,예
58세,은퇴,기혼,높음,예,아니오
42세,실업자,기혼,높음,예,예
56세,서비스직,기혼,높음,예,예
55세,가사도우미,기혼,높음,예,예
26세,육체노동직,미혼,높음,예,예
40세,공무원,미혼,높음,예,아니오
26세,기술자,미혼,높음,예,예
35세,경영진,미혼,높음,예,예
34세,서비스직,미혼,높음,예,아니오
41세,경영진,미혼,높음,예,아니오
44세,경영진,기혼,높음,예,예
33세,경영진,미혼,높음,예,예
36세,경영진,이혼,높음,예,예
38세,기술자,기혼,높음,예,예
35세,기술자,기혼,높음,예,예
41세,기술자,미혼,높음,예,아니오
41세,경영진,이혼,높음,예,예
28세,육체노동직,기혼,높음,예,예
26세,서비스직,기혼,높음,예,예
39세,육체노동직,미혼,높음,예,아니오
25세,공무원,기혼,높음,예,예
37세,공무원,기혼,높음,예,예
25세,경영진,기혼,높음,예,예
46세,경영진,이혼,높음,예,예
25세,육체노동직,미혼,높음,예,예
28세,기술자,미혼,높음,예,예
33세,서비스직,이혼,높음,예,예
32세,경영진,미혼,높음,예,예
32세,육체노동직,기혼,높음,예,예
47세,기술자,미혼,높음,예,예
50세,기업가,기혼,높음,예,예
27세,기술자,기혼,높음,예,예
45세,공무원,기혼,높음,예,예
51세,공무원,미혼,높음,예,아니오
36세,공무원,기혼,높음,예,예
51세,개인사업자,기혼,높음,예,예
33세,서비스직,미혼,높음,예,예
59세,기술자,기혼,높음,예,예
38세,기업가,기혼,높음,예,아니오
40세,서비스직,기혼,높음,예,예
51세,육체노동직,기혼,높음,예,예
41세,기업가,미혼,높음,예,아니오
38세,기업가,기혼,높음,예,예
31세,경영진,기혼,높음,예,예
28세,공무원,미혼,높음,예,예
41세,육체노동직,기혼,낮음,예,예
33세,경영진,이혼,높음,예,예
25세,학생,미혼,높음,예,예
45세,공무원,이혼,높음,예,예
31세,육체노동직,기혼,높음,예,예
28세,서비스직,미혼,높음,예,예
49세,기술자,이혼,높음,예,아니오
25세,서비스직,기혼,높음,예,예
28세,실업자,미혼,높음,예,예
54세,은퇴,기혼,높음,예,아니오
28세,기술자,미혼,높음,예,예
27세,기술자,미혼,높음,예,예
49세,육체노동직,미혼,높음,예,예
53세,육체노동직,기혼,높음,예,예
26세,기술자,미혼,높음,예,예
37세,서비스직,기혼,높음,예,예
34세,육체노동직,미혼,높음,예,예
51세,은퇴,기혼,높음,예,아니오
39세,가사도우미,기혼,높음,예,아니오
35세,기술자,미혼,높음,예,예
51세,실업자,기혼,높음,예,예
30세,경영진,미혼,높음,예,예
42세,육체노동직,미혼,높음,예,예
54세,경영진,기혼,높음,예,예
51세,육체노동직,기혼,높음,예,예
57세,은퇴,이혼,높음,예,예
30세,경영진,기혼,높음,예,예
37세,육체노동직,미혼,높음,예,예
39세,기술자,기혼,높음,예,예
35세,기술자,기혼,높음,예,아니오
48세,경영진,기혼,높음,예,예
31세,경영진,기혼,높음,예,예
35세,개인사업자,기혼,높음,예,예
48세,가사도우미,기혼,높음,예,예
53세,가사도우미,기혼,높음,예,아니오
27세,기술자,미혼,높음,예,아니오
55세,기술자,기혼,높음,예,예
40세,서비스직,기혼,높음,예,예
40세,개인사업자,미혼,높음,예,아니오
38세,육체노동직,이혼,높음,예,예
54세,은퇴,미혼,높음,예,예
54세,기술자,기혼,높음,예,예
50세,공무원,미혼,높음,예,아니오
48세,경영진,이혼,높음,예,아니오
41세,서비스직,기혼,높음,예,아니오
51세,육체노동직,이혼,높음,예,아니오
42세,기술자,미혼,높음,예,아니오
58세,은퇴,이혼,높음,예,예
47세,실업자,기혼,높음,예,아니오
58세,공무원,기혼,높음,예,예
41세,육체노동직,기혼,높음,예,예
50세,공무원,기혼,높음,예,아니오
46세,가사도우미,기혼,높음,예,예
44세,육체노동직,기혼,높음,예,아니오
36세,서비스직,기혼,높음,예,아니오
58세,경영진,이혼,높음,예,아니오
44세,실업자,미혼,낮음,예,예
49세,기업가,이혼,낮음,예,예
55세,경영진,기혼,높음,예,아니오
52세,실업자,기혼,높음,예,아니오
60세,은퇴,이혼,높음,예,아니오
41세,서비스직,기혼,낮음,예,예
36세,경영진,기혼,높음,예,아니오
41세,육체노동직,이혼,높음,예,아니오
50세,기업가,기혼,높음,예,아니오
44세,가사도우미,기혼,높음,예,예
54세,기술자,기혼,높음,예,아니오
35세,경영진,기혼,높음,예,예
59세,은퇴,이혼,높음,예,아니오
42세,기업가,기혼,높음,예,예
27세,경영진,미혼,높음,예,예
59세,가사도우미,이혼,높음,예,아니오
43세,공무원,기혼,높음,예,아니오
39세,기술자,미혼,높음,예,예
33세,실업자,기혼,높음,예,아니오
36세,개인사업자,미혼,높음,예,아니오
35세,육체노동직,이혼,높음,예,예
50세,육체노동직,기혼,높음,예,예
55세,기술자,기혼,높음,예,예
51세,실업자,이혼,높음,예,아니오
48세,기업가,기혼,낮음,예,아니오
55세,가사도우미,이혼,높음,예,아니오
30세,서비스직,기혼,높음,예,예
53세,육체노동직,기혼,높음,예,아니오
40세,육체노동직,기혼,높음,예,아니오
44세,기술자,기혼,높음,예,예
49세,경영진,이혼,높음,예,아니오
40세,공무원,기혼,높음,예,아니오
58세,실업자,기혼,높음,예,아니오
49세,서비스직,기혼,높음,예,아니오
38세,기술자,기혼,높음,예,아니오
51세,가사도우미,이혼,높음,예,아니오
36세,경영진,이혼,높음,예,아니오
55세,은퇴,기혼,높음,예,아니오
43세,기술자,기혼,높음,예,아니오
60세,경영진,이혼,높음,예,아니오
57세,은퇴,기혼,높음,예,아니오
41세,기술자,기혼,높음,예,아니오
50세,기술자,기혼,높음,예,아니오
53세,육체노동직,기혼,높음,예,아니오
59세,은퇴,기혼,높음,예,예
59세,가사도우미,기혼,높음,예,아니오
52세,알 수 없음,기혼,높음,예,아니오
58세,경영진,이혼,높음,예,아니오
59세,은퇴,기혼,높음,예,예
49세,기술자,미혼,높음,예,아니오
33세,경영진,이혼,높음,예,아니오
55세,육체노동직,기혼,높음,예,아니오
42세,기술자,기혼,높음,예,아니오
52세,서비스직,기혼,높음,예,아니오
38세,기술자,기혼,높음,예,아니오
55세,기술자,기혼,높음,예,예
49세,기술자,기혼,높음,예,아니오
56세,기술자,이혼,높음,예,예
46세,기술자,기혼,높음,예,아니오
57세,은퇴,이혼,높음,예,아니오
61세,은퇴,기혼,높음,예,아니오
45세,공무원,기혼,높음,예,아니오
39세,경영진,기혼,높음,예,아니오
46세,공무원,기혼,높음,예,아니오
43세,경영진,미혼,높음,예,아니오
34세,서비스직,기혼,높음,예,아니오
35세,경영진,이혼,높음,예,아니오
36세,경영진,이혼,낮음,예,아니오
45세,경영진,이혼,높음,예,아니오
47세,기술자,기혼,높음,예,아니오
42세,기술자,기혼,높음,예,예
40세,경영진,미혼,높음,예,아니오
40세,기술자,이혼,높음,예,아니오
32세,기술자,기혼,높음,예,아니오
33세,기술자,미혼,높음,예,예
32세,개인사업자,기혼,높음,예,아니오
46세,육체노동직,기혼,높음,예,아니오
50세,공무원,기혼,높음,예,예
51세,육체노동직,기혼,높음,예,아니오
30세,경영진,미혼,높음,예,아니오
39세,기술자,미혼,높음,예,아니오
47세,공무원,기혼,높음,예,아니오
40세,기술자,이혼,높음,예,아니오
50세,육체노동직,기혼,높음,예,예
60세,경영진,기혼,높음,예,아니오
32세,경영진,미혼,높음,예,아니오
57세,기술자,기혼,높음,예,아니오
41세,개인사업자,기혼,높음,예,아니오
50세,기술자,기혼,높음,예,아니오
46세,기술자,이혼,높음,예,예
31세,경영진,기혼,높음,예,아니오
36세,기술자,미혼,높음,예,아니오
45세,기술자,이혼,높음,예,아니오
33세,기술자,이혼,높음,예,아니오
47세,서비스직,기혼,높음,예,예
35세,경영진,기혼,높음,예,아니오
38세,경영진,기혼,높음,예,아니오
