,Product Name,Product Features
25,KB군인연금평생안심통장,"상품특징군인연금 급여가 생활비로 사용될 수 있도록 압류가 금지되고, 연금수령 실적이 있는 경우 은행거래 수수료를 면제해주는 압류방지 전용통장"
26,KB국민첫재테크적금,"상품특징직장인 등의 첫 목돈마련 플랜을 지원하는 월복리 적금으로, KB국민은행 첫 거래고객 및 KB스타뱅킹 이체 이용 고객 등에게 우대이율을 제공하는 상품"
27,KB부가세납부전용통장,"상품특징『부가가치세 매입자 납부특례제도』시행에 따라 금,구리,철,기타비철금속 관련 제품 거래 시 매매대금의 결제와 부가가치세 납부를 지원하는 입출금이자유로운예금"
28,일반정기예금,상품특징목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식예금입니다.
29,KB Star 정기예금,"상품특징인터넷뱅킹, KB스타뱅킹, 고객센터를 통해서만 가입가능한 Digital KB 대표 정기예금으로, 자동 만기관리부터 분할인출까지 가능한 편리한 온라인 전용 정기예금입니다."
30,KB골든라이프연금우대통장,"상품특징고객의 안정적인 노후생활을 위한 3층 연금구조 형성을 돕고, 연금수령 시 수수료면제 및 우대금리를 제공하는 요구불예금"
31,KB국민프리미엄적금 (자유적립식),상품특징단체가입고객 또는 병역명문가 등에게 우대금리를 제공하는 적립식 상품
32,KB국민UP정기예금,상품특징1개월 단위로 이율이 상승하는 계단식 금리구조 및 일부인출 서비스를 통해 거래편의성을 높이고 KB국민은행 및 KB국민카드 상품 거래시 우대이율을 제공하는 월복리 정기예금
33,KB able Plus통장,"상품특징통장에서 직접 증권 매매거래가 가능한 은행-증권 하이브리드 계좌로, 위탁증거금을 제외한 증권매수자금을 CMA RP로 운용하여 추가 수익을 제공하는 상품※ CMA RP : CMA(Cash Management Account)에 입금된 자금을 환매조건부 채권(A등급 이상)에 투자하는 상품"
34,KB미소드림적금,상품특징미소금융대출 및 채무조정 성실상환자의 재기지원 자금 마련 및 자산형성을 돕는 자유적립식 예금
35,KB상호부금(정액적립식),상품특징목돈을 마련하는 국민은행의 대표 적립식예금
36,My저금통,상품특징나의 소비내역을 바탕으로 알아서 저축해주는 똑똑한 통장아낀만큼 모으기 : 소비줄이기 목표 달성 시 절약한 금액만큼 자동저축쓰는만큼 모으기 : 특정 업종에서 카드를 쓰면 벌칙처럼 자동저축
37,KB Young Youth 청소년통장,상품특징아이가 성장하여 유학/배낭여행 등을 갈 때 도움이 되도록 항공 마일리지를 꾸준히 적립할 수 있는 청소년 고객 맞춤 입출금이 자유로운 예금
38,KB 특★한 적금,상품특징내가 원하는 특별한 날을 만기일로 지정하고 변경할 수 있는 단기 적금
39,KB압류방지전용통장,"상품특징법령에 따른 압류금지 수급금에 대해 수급권을 제한하는 거래가 금지되고, 수급금 수령 실적이 있는 경우 각종 은행거래 수수료를 면제해주는 압류방지 전용통장"
40,KB국민프리미엄적금 (정액적립식),상품특징단체가입고객 또는 병역명문가 등에게 우대금리를 제공하는 적립식 상품
41,직장인우대적금,"상품특징직장인의 재테크 스타일을 반영하여 급여이체를 하거나 보너스 등의 부정기적인 자금을 추가로 적립하는 경우 우대이율로 목돈마련을 지원하고 결혼, 출산, 이사 등 이벤트를 위한 중도해지시 기본이율을 제공 하는 적립식 예금"
42,KB국민행복적금,"상품특징주택구입, 입원 등의 사유 발생시 특별중도해지 서비스를 제공하고 만기해지시우대금리를 제공하는 적립식 상품"
43,KB Young Youth 적금,"상품특징자녀가 성년이 될 때까지 장기거래가 가능하며, 어린이/청소년을 위한 무료 보험가입서비스를 제공하는 적금"
44,KB반려행복적금,상품특징반려동물 케어·입양·정보 등록이 가능한 고객 참여형 스마트폰 전용 적금
45,KB나라사랑적금(직업군인용),"상품특징직업군인 맞춤형 상품으로 급여이체, 카드사용 등 은행 거래실적에 따라 우대이율을 제공하는 적금 상품"
46,KB마이핏통장,상품특징하나의 통장을 목적에 맞게 쪼개 쓸수 있는 통장 (최고 연 1.5%(세금공제전))
47,가계당좌예금,상품특징가계당좌예금은 신용경제기반을 구축하기 위한 제도로 가계를 중심으로 한 국민대중의 일상 경제활동에 있어 유동자금을 효과적으로 운용할 수 있는 제도
48,KB주택연금지킴이통장,"상품특징주택담보노후연금(주택연금) 수령금이 생활비로 사용될 수 있도록 압류가 금지되고, 연금수령 실적이 있는 경우 각종 은행거래 수수료를 면제해주는 압류방지 전용통장"
49,KB장병내일준비적금,"상품특징병사봉급 한도 내에서 복무기간 동안 목돈마련을 원하는 병역 의무복무자 맞춤형 상품으로, 은행 거래실적에 따라 추가 우대이율 제공"
50,KB 스타플러스통장,상품특징한국씨티은행 고객및 임직원을 위한 특별한 혜택
51,ONE KB 사업자통장,"상품특징사업자가 은행 거래 시 발생되는 수수료를 면제 받으며, 대출 상품 가입 시 금리우대 혜택을 받을 수 있는 입출금이 자유로운 예금"
52,KB WELCOME통장,상품특징급여이체 및 외환거래를 하는 외국인 고객에게 각종 은행거래 수수료 면제 및 환율우대 등의 부가서비스를 제공하는 입출금이 자유로운 예금
53,KB상호부금(자유적립식),상품특징목돈을 마련하는 국민은행의 대표 적립식예금
54,KB보육&복지시설우대통장,상품특징정부 및 지방자치단체 등으로부터 보조금 수혜를 받는 어린이집 및 복지시설을 대상으로 금융혜택을 제공하는 입출금이자유로운예금
55,KB Young Youth 어린이통장,상품특징계좌 안의 계좌 '저금통'으로 특별우대이율 및 무료 유아교육서비스를 제공하는 어린이 고객 맞춤 입출금이 자유로운 예금
56,KB내맘대로적금,"상품특징상품에 관한 다양한 옵션(우대이율, 부가서비스 등)을 제공함으로써 고객이 직접 상품 요건을 설계하여 가입할 수 있는 비대면채널 전용 DIY(Do-It-Yourself)형 상품"
57,KB사학연금평생안심통장,"상품특징사학연금 급여가 생활비로 사용될 수 있도록 압류가 금지되고, 연금수령 실적이 있는 경우 각종 은행거래 수수료를 면제해주는 압류방지 전용통장"
